species_name,neighbourhood_name,date_planted
AMERICANA,MARPOLE,1999-01-13
AMERICANA,KENSINGTON-CEDAR COTTAGE,1996-04-29
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1993-12-16
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1993-12-16
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1993-12-16
AMERICANA,KENSINGTON-CEDAR COTTAGE,1993-12-03
PLATANOIDES,OAKRIDGE,1993-12-15
OXYCARPA,KENSINGTON-CEDAR COTTAGE,1993-12-20
PLATANOIDES,OAKRIDGE,1993-12-15
PLATANOIDES,OAKRIDGE,1993-12-15
PLATANOIDES,OAKRIDGE,1993-12-09
CERASIFERA,KITSILANO,2000-01-21
AMERICANA,KITSILANO,2000-01-21
CALLERYANA,WEST POINT GREY,1997-01-31
FREEMANI   X,KITSILANO,1997-03-20
RUBRUM,KITSILANO,1996-04-16
PENNSYLVANICA,MARPOLE,1998-02-17
X YEDOENSIS,SUNSET,1998-03-03
AMERICANA,KENSINGTON-CEDAR COTTAGE,1995-03-24
AMERICANA,KENSINGTON-CEDAR COTTAGE,1994-04-28
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1998-02-03
AMERICANA,RILEY PARK,1996-02-07
AMERICANA,RILEY PARK,1996-02-08
PENNSYLVANICA,RILEY PARK,1998-04-29
TRIACANTHOS,STRATHCONA,1994-10-25
SERRULATA,RILEY PARK,1996-12-11
TRIACANTHOS,SUNSET,2007-01-26
PLATANOIDES,GRANDVIEW-WOODLAND,1994-11-03
PLATANOIDES,HASTINGS-SUNRISE,1994-11-02
PLATANOIDES,HASTINGS-SUNRISE,1994-11-02
PLATANOIDES,HASTINGS-SUNRISE,1994-11-02
PLATANOIDES,HASTINGS-SUNRISE,1994-11-02
TRIACANTHOS,STRATHCONA,1994-10-26
PLATANOIDES,HASTINGS-SUNRISE,1994-11-02
PLATANOIDES,HASTINGS-SUNRISE,1994-11-02
PLATANOIDES,HASTINGS-SUNRISE,1994-11-02
CRUS-GALLI,GRANDVIEW-WOODLAND,1994-10-31
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1994-11-04
AMERICANA,KENSINGTON-CEDAR COTTAGE,1994-11-04
AMERICANA,KENSINGTON-CEDAR COTTAGE,1994-11-04
AMERICANA,KENSINGTON-CEDAR COTTAGE,1994-11-04
OXYCARPA,ARBUTUS-RIDGE,1995-02-02
CERASIFERA,VICTORIA-FRASERVIEW,1995-02-24
CERASIFERA,VICTORIA-FRASERVIEW,1995-02-24
STYRACIFLUA,VICTORIA-FRASERVIEW,1995-02-27
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-16
OXYCARPA,ARBUTUS-RIDGE,1995-02-22
OXYCARPA,ARBUTUS-RIDGE,1995-02-07
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-22
OXYCARPA,ARBUTUS-RIDGE,1995-02-08
OXYCARPA,ARBUTUS-RIDGE,1995-02-07
OXYCARPA,ARBUTUS-RIDGE,1995-01-30
OXYCARPA,ARBUTUS-RIDGE,1995-02-01
PLATANOIDES,GRANDVIEW-WOODLAND,1994-11-14
PLATANOIDES,GRANDVIEW-WOODLAND,1994-11-14
PLATANOIDES,GRANDVIEW-WOODLAND,1994-11-14
ROBUR,GRANDVIEW-WOODLAND,1994-11-14
ROBUR,GRANDVIEW-WOODLAND,1994-11-14
ROBUR,GRANDVIEW-WOODLAND,1994-11-14
ARIA,GRANDVIEW-WOODLAND,1994-11-08
PLATANOIDES,OAKRIDGE,1994-11-08
TRIACANTHOS,HASTINGS-SUNRISE,1994-11-03
TRIACANTHOS,HASTINGS-SUNRISE,1994-11-03
OXYCARPA,ARBUTUS-RIDGE,1995-02-06
PENNSYLVANICA,KITSILANO,1994-11-22
PENNSYLVANICA,KITSILANO,1994-11-22
PLATANOIDES,HASTINGS-SUNRISE,1994-11-23
AMERICANA,KITSILANO,1994-11-23
AMERICANA,MOUNT PLEASANT,1994-11-09
CALLERYANA,MOUNT PLEASANT,1994-11-16
